id,tier,question,cypher,n_rows,answer,seconds,error
13,2,Which biological processes are shared between SIRT1 and FOXO3?,"MATCH (g1:Gene {id_lower: 'sirt1'})-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WITH g1, bp
MATCH (g2:Gene {id_lower: 'foxo3'})-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp)
RETURN DISTINCT bp.name AS biological_process
LIMIT 25",10,"```cypher
MATCH (g1:Gene {id_lower: 'sirt1'})-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WITH g1, bp
MATCH (g2:Gene {id_lower: 'foxo3'})-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp)
RETURN DISTINCT bp.name AS biological_process
LIMIT 25
```

The shared biological processes between SIRT1 and FOXO3 are:
- female gamete generation
- negative regulation of nucleic acid-templated transcription
- regulation of biological quality
- negative regulation of RNA metabolic process
- negative regulation of nitrogen compound metabolic process
- regulation of RNA biosynthetic process
- biological regulation
- negative regulation of RNA biosynthetic process
- negative regulation of DNA-templated transcription
- regulation of cellular process",10.9,
14,2,Find genes associated with diseases that also have a link to inflammation.,"MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'inflammation'
RETURN g.id AS gene_id, g.name AS gene_name, d.name AS disease_name
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'inflammation'
RETURN g.id AS gene_id, g.name AS gene_name, d.name AS disease_name
LIMIT 25
```

Based on the retrieved results, the following genes are associated with the disease ""Inflammation"":

- A2M (alpha-2-macroglobulin)
- ZMPSTE24 (zinc metallopeptidase STE24)
- ZFP36 (ZFP36 ring finger protein)
- ZC3H12A (zinc finger CCCH-type containing 12A)
- YWHAG (tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma)
- XDH (xanthine dehydrogenase)
- WRN (WRN RecQ like helicase)
- WNT5A (Wnt family member 5A)
- VWF (von Willebrand factor)
- VTN (vitronectin)",12.8,
15,2,Which proteins are involved in pathways associated with type 2 diabetes?,"MATCH (d:Disease)-[:Disease_Pathway]->(p:Pathway)<-[:Protein_Pathway]-(pr:Protein)
WHERE d.name_lower CONTAINS 'type 2 diabetes'
RETURN pr.id, pr.name
LIMIT 25",0,"I didn't find any results in the knowledge graph for proteins associated with type 2 diabetes pathways. The query I used was:

```cypher
MATCH (d:Disease)-[:Disease_Pathway]->(p:Pathway)<-[:Protein_Pathway]-(pr:Protein)
WHERE d.name_lower CONTAINS 'type 2 diabetes'
RETURN pr.id, pr.name
LIMIT 25
```

You may want to refine the question, for example by checking the exact disease name (e.g., ""diabetes mellitus, type 2"") or broadening the search to related terms like ""insulin resistance"" or ""glucose metabolism.""",11.3,
16,2,What diseases share associated genes with Alzheimer disease?,"MATCH (d1:Disease {name_lower: 'alzheimer disease'})<-[:Gene_Disease]-(g:Gene)-[:Gene_Disease]->(d2:Disease)
WHERE d2 <> d1
RETURN DISTINCT d2.name AS disease_name
LIMIT 25",10,"```cypher
MATCH (d1:Disease {name_lower: 'alzheimer disease'})<-[:Gene_Disease]-(g:Gene)-[:Gene_Disease]->(d2:Disease)
WHERE d2 <> d1
RETURN DISTINCT d2.name AS disease_name
LIMIT 25
```

Based on the retrieved results, the diseases sharing associated genes with Alzheimer disease are: Hyperinsulinemia, Thrombosis, Respiratory Distress Syndrome, Neoplasms, Hemolysis, essential tremor, leprosy, acromegaly, proteinuria, and Hyperglycemia.",11.2,
17,2,Which chemicals inhibit biological processes that TP53 positively regulates?,"MATCH (g:Gene {id_lower: 'tp53'})-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)<-[:ChemicalEntity_Inhibits_BiologicalProcess]-(c:ChemicalEntity)
RETURN DISTINCT c.name AS chemical_name, c.id AS chemical_id, bp.name AS biological_process_name
LIMIT 25",0,"I didn't find any result in the knowledge graph for chemicals that inhibit biological processes positively regulated by TP53.

Here is the query I used:

```cypher
MATCH (g:Gene {id_lower: 'tp53'})-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)<-[:ChemicalEntity_Inhibits_BiologicalProcess]-(c:ChemicalEntity)
RETURN DISTINCT c.name AS chemical_name, c.id AS chemical_id, bp.name AS biological_process_name
LIMIT 25
```

The results are empty. You may want to refine the question, for example by checking if the relationship types or gene identifier (e.g., `TP53` vs `tp53`) are correct, or by broadening the search to include indirect inhibition or other gene–process associations.",11.3,
18,2,Find genes linked to both oxidative stress-induced premature senescence and a named disease.,"MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'oxidative stress' AND bp.name_lower CONTAINS 'senescence'
WITH g
MATCH (g)-[:Gene_Disease]->(d:Disease)
RETURN g.id AS gene_id, g.name AS gene_name, d.name AS disease_name
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'oxidative stress' AND bp.name_lower CONTAINS 'senescence'
WITH g
MATCH (g)-[:Gene_Disease]->(d:Disease)
RETURN g.id AS gene_id, g.name AS gene_name, d.name AS disease_name
LIMIT 25
```

Based on the retrieved results, the only gene linked to both oxidative stress-induced premature senescence and a named disease is **WNT16** (Wnt family member 16). Its associated diseases include Osteoarthritis, osteoporotic fracture, Coffin-Siris syndrome, osteopenia, colon cancer, Becker muscular dystrophy, B-cell acute lymphoblastic leukemia, malignant tumor of urinary bladder, precursor cell lymphoblastic leukemia-lymphoma, and malignant neoplastic disease.",13.3,
19,3,How many diseases are in the knowledge graph?,"MATCH (d:Disease)
RETURN count(d) AS disease_count
LIMIT 25",1,"```cypher
MATCH (d:Disease)
RETURN count(d) AS disease_count
LIMIT 25
```

The knowledge graph contains **44,263** diseases.",11.7,
20,3,How many genes are associated with cellular senescence?,"MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN COUNT(DISTINCT g) AS gene_count
LIMIT 25",1,"```cypher
MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN COUNT(DISTINCT g) AS gene_count
LIMIT 25
```

Based on the retrieved result, **115 genes** are associated with cellular senescence.",12.8,
21,3,Which disease has the most associated genes?,"MATCH (d:Disease)<-[:Gene_Disease]-(g:Gene)
RETURN d.name AS disease, COUNT(g) AS gene_count
ORDER BY gene_count DESC
LIMIT 25",10,"```cypher
MATCH (d:Disease)<-[:Gene_Disease]-(g:Gene)
RETURN d.name AS disease, COUNT(g) AS gene_count
ORDER BY gene_count DESC
LIMIT 25
```

Based on the retrieved results, the disease with the most associated genes is **Neoplasms**, with 4,055 associated genes.",20.4,
22,3,What are the top 10 genes by number of associated biological processes?,"MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
RETURN g.id AS gene_id, g.name AS gene_name, COUNT(bp) AS num_processes
ORDER BY num_processes DESC
LIMIT 10",10,"```cypher
MATCH (g:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess)
RETURN g.id AS gene_id, g.name AS gene_name, COUNT(bp) AS num_processes
ORDER BY num_processes DESC
LIMIT 10
```

The top 10 genes by number of associated biological processes are:

1. **TGFB1** (transforming growth factor beta 1) – 1046 processes
2. **BMP4** (bone morphogenetic protein 4) – 886 processes
3. **WNT5A** (Wnt family member 5A) – 817 processes
4. **TNF** (tumor necrosis factor) – 803 processes
5. **CTNNB1** (catenin beta 1) – 802 processes
6. **AKT1** (AKT serine/threonine kinase 1) – 760 processes
7. **NOTCH1** (notch receptor 1) – 757 processes
8. **IL1B** (interleukin 1 beta) – 738 processes
9. **SHH** (sonic hedgehog signaling molecule) – 720 processes
10. **BCL2** (BCL2 apoptosis regulator) – 690 processes",12.7,
23,3,How many relationship types connect Gene to BiologicalProcess?,"MATCH (g:Gene)-[r]->(bp:BiologicalProcess)
RETURN count(DISTINCT type(r)) AS relationship_types
LIMIT 25",1,"```cypher
MATCH (g:Gene)-[r]->(bp:BiologicalProcess)
RETURN count(DISTINCT type(r)) AS relationship_types
LIMIT 25
```

Based on the retrieved result, there are **6** relationship types connecting Gene to BiologicalProcess.",12.2,
24,3,Which species are represented in the knowledge graph?,"MATCH (s:Species)
RETURN s.name AS species_name, s.id AS species_id
LIMIT 25;",6,"```cypher
MATCH (s:Species)
RETURN s.name AS species_name, s.id AS species_id
LIMIT 25;
```

The species represented in the knowledge graph are: *Caenorhabditis elegans*, *Danio rerio*, *Drosophila melanogaster*, *Mus musculus*, *Saccharomyces cerevisiae*, and *Homo sapiens*.",10.6,
25,4,"What is the C. elegans ortholog of the human gene SIRT1, and is it linked to lifespan?","MATCH (human:Gene) WHERE human.id_lower = 'sirt1'
MATCH (human)-[:Gene_Protein]->(protein:Protein)
MATCH (protein)-[:Protein_Protein]->(ortholog_protein:Protein)
MATCH (ortholog_protein)<-[:Gene_Protein]-(ortholog:Gene)
MATCH (ortholog)-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'lifespan'
RETURN ortholog.id AS ortholog_gene, ortholog.name AS ortholog_name, bp.name AS biological_process
LIMIT 25",10,"The retrieved results do not contain a C. elegans ortholog for human SIRT1. The orthologs listed (e.g., RAD54B, SIRT4, TFCP2, etc.) are not SIRT1 orthologs, and none are specifically identified as the C. elegans ortholog of SIRT1. Therefore, based on the provided results, the C. elegans ortholog of SIRT1 is not reported, and its link to lifespan cannot be confirmed from these data.

```cypher
MATCH (human:Gene) WHERE human.id_lower = 'sirt1'
MATCH (human)-[:Gene_Protein]->(protein:Protein)
MATCH (protein)-[:Protein_Protein]->(ortholog_protein:Protein)
MATCH (ortholog_protein)<-[:Gene_Protein]-(ortholog:Gene)
MATCH (ortholog)-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'lifespan'
RETURN ortholog.id AS ortholog_gene, ortholog.name AS ortholog_name, bp.name AS biological_process
LIMIT 25
```",16.4,
26,4,Which aging-related genes are conserved between human and Drosophila melanogaster?,"MATCH (h:Gene)-[:Gene_Gene]-(d:Gene)
WHERE h.id_lower CONTAINS 'aging' AND d.id_lower CONTAINS 'drosophila'
RETURN h.id AS human_gene, d.id AS drosophila_gene
LIMIT 25",0,"I didn't find any result in the knowledge graph for aging-related genes conserved between human and *Drosophila melanogaster* using the query below. The graph may not contain direct cross-species gene–gene relationships with those specific terms, or the query needs refinement (e.g., using species identifiers, gene symbols, or a different relationship type).

```cypher
MATCH (h:Gene)-[:Gene_Gene]-(d:Gene)
WHERE h.id_lower CONTAINS 'aging' AND d.id_lower CONTAINS 'drosophila'
RETURN h.id AS human_gene, d.id AS drosophila_gene
LIMIT 25
```

Please refine the question, for example by specifying known aging gene symbols (e.g., *SIRT1*, *FOXO*, *mTOR*) or using species-specific node properties.",14.0,
27,4,Do mouse and human share associated genes for cellular senescence?,"MATCH (g1:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess {name_lower: 'cellular senescence'})
WITH g1, bp
MATCH (g2:Gene)-[:Gene_BiologicalProcess]->(bp)
WHERE g1.id_lower <> g2.id_lower
MATCH (s1:Species)-[:Species_AssociatedWith]->(g1)
MATCH (s2:Species)-[:Species_AssociatedWith]->(g2)
WHERE s1.id_lower = 'mouse' AND s2.id_lower = 'human'
RETURN DISTINCT g1.id AS mouse_gene, g2.id AS human_gene
LIMIT 25",0,"I didn't find any result in the knowledge graph for shared mouse and human genes associated with cellular senescence.

Here is the query I used:

```cypher
MATCH (g1:Gene)-[:Gene_BiologicalProcess]->(bp:BiologicalProcess {name_lower: 'cellular senescence'})
WITH g1, bp
MATCH (g2:Gene)-[:Gene_BiologicalProcess]->(bp)
WHERE g1.id_lower <> g2.id_lower
MATCH (s1:Species)-[:Species_AssociatedWith]->(g1)
MATCH (s2:Species)-[:Species_AssociatedWith]->(g2)
WHERE s1.id_lower = 'mouse' AND s2.id_lower = 'human'
RETURN DISTINCT g1.id AS mouse_gene, g2.id AS human_gene
LIMIT 25
```

The results are empty, which may indicate that the knowledge graph does not contain direct gene–biological process associations for both species under the exact term ""cellular senescence,"" or that the species labels differ (e.g., ""Mus musculus"" vs. ""mouse""). You may want to refine the query by checking the exact species names or using a broader biological process term (e.g., ""senescence"" or ""cell aging"").",13.1,
28,4,Which yeast genes have human orthologs associated with aging?,"MATCH (yeast:Gene)-[:Gene_Gene]->(human:Gene)
WHERE yeast.id_lower CONTAINS 'saccharomyces' OR yeast.name_lower CONTAINS 'saccharomyces'
MATCH (human)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'aging'
RETURN DISTINCT yeast.id AS yeast_gene, human.id AS human_ortholog, d.name AS disease
LIMIT 25",0,"I didn't find any result in the knowledge graph for yeast genes with human orthologs associated with aging.

Here is the query I used:

```cypher
MATCH (yeast:Gene)-[:Gene_Gene]->(human:Gene)
WHERE yeast.id_lower CONTAINS 'saccharomyces' OR yeast.name_lower CONTAINS 'saccharomyces'
MATCH (human)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'aging'
RETURN DISTINCT yeast.id AS yeast_gene, human.id AS human_ortholog, d.name AS disease
LIMIT 25
```

The results are empty. You may want to refine the question, for example by checking the exact relationship types (e.g., `ORTHOLOGOUS` instead of `Gene_Gene`) or broadening the disease term (e.g., ""longevity"", ""senescence"").",11.9,
29,4,Compare the biological processes annotated to FOXO3 in human versus its zebrafish ortholog.,"MATCH (human:Gene {id_lower: 'foxo3'})-[r1:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp: BiologicalProcess)
WHERE human.node_species CONTAINS 'human'
WITH human, bp
MATCH (zebrafish:Gene {id_lower: 'foxo3'})-[r2:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp2: BiologicalProcess)
WHERE zebrafish.node_species CONTAINS 'zebrafish'
RETURN bp.name AS human_process, bp2.name AS zebrafish_process
LIMIT 25",0,"I didn't find any result in the knowledge graph for comparing biological processes annotated to FOXO3 in human versus zebrafish. The query I used was:

```cypher
MATCH (human:Gene {id_lower: 'foxo3'})-[r1:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp: BiologicalProcess)
WHERE human.node_species CONTAINS 'human'
WITH human, bp
MATCH (zebrafish:Gene {id_lower: 'foxo3'})-[r2:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp2: BiologicalProcess)
WHERE zebrafish.node_species CONTAINS 'zebrafish'
RETURN bp.name AS human_process, bp2.name AS zebrafish_process
LIMIT 25
```

The results are empty, which may indicate that the gene name (e.g., `FOXO3` vs `foxo3`), species labels, or relationship types in the graph differ from what was queried. You may want to refine the question by checking the exact gene identifiers and species annotations in the knowledge graph, or by broadening the relationship types.",14.5,
30,4,Which genes associated with longevity have orthologs in at least three species?,"MATCH (g:Gene)-[:Gene_Gene]->(other:Gene)
WITH g, COUNT(DISTINCT other) AS ortholog_count
WHERE ortholog_count >= 3
MATCH (g)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'longevity'
RETURN g.id AS gene_id, g.name AS gene_name, ortholog_count
LIMIT 25",0,"I didn't find any result in the knowledge graph for genes associated with longevity that have orthologs in at least three species.

Here is the query I used:

```cypher
MATCH (g:Gene)-[:Gene_Gene]->(other:Gene)
WITH g, COUNT(DISTINCT other) AS ortholog_count
WHERE ortholog_count >= 3
MATCH (g)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'longevity'
RETURN g.id AS gene_id, g.name AS gene_name, ortholog_count
LIMIT 25
```

The query returned no matches. You may want to refine the question, for example by checking the relationship types (e.g., `Gene_Ortholog` instead of `Gene_Gene`) or verifying that the disease term 'longevity' is correctly indexed in the graph.",156.6,
31,5,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity, reducing systemic inflammation and delaying age-related physical decline.","MATCH (c:ChemicalEntity {id_lower: 'betaine'})
MATCH (c)-[:ChemicalEntity_Inhibits_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN c.name AS chemical, bp.name AS process
LIMIT 25",0,"I didn't find any result in the knowledge graph for the query provided. The retrieved results are empty.

Here is the query I used:
```cypher
MATCH (c:ChemicalEntity {id_lower: 'betaine'})
MATCH (c)-[:ChemicalEntity_Inhibits_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN c.name AS chemical, bp.name AS process
LIMIT 25
```

Please refine your question or check if the relationship (e.g., `ChemicalEntity_Inhibits_BiologicalProcess`) or the entity name is correct in the knowledge graph.",13.0,
32,5,Metformin extends lifespan by inhibiting mTOR signalling in C. elegans.,"MATCH (g:Gene)-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'metformin'
RETURN g.id, bp.name
LIMIT 25",0,"I didn't find any result in the knowledge graph for the query about metformin extending lifespan by inhibiting mTOR signalling in *C. elegans*. The retrieved results are empty.

Here is the query I used:

```cypher
MATCH (g:Gene)-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'metformin'
RETURN g.id, bp.name
LIMIT 25
```

You may want to refine your question, for example by searching for the gene `mTOR` (or `let-363` in *C. elegans*) or by using a different biological process term like ""lifespan"" or ""autophagy"" instead of ""metformin"" as a gene name.",13.2,
33,5,Rapamycin treatment reverses cellular senescence markers in aged cardiac tissue.,"MATCH (c:ChemicalEntity {id_lower: 'rapamycin'})-[:ChemicalEntity_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
MATCH (c)-[:ChemicalEntity_BiologicalProcess]->(bp2:BiologicalProcess)
WHERE bp2.name_lower CONTAINS 'aging'
RETURN c.name AS chemical, bp.name AS process, bp2.name AS aging_process
LIMIT 25",0,"I didn't find any result in the knowledge graph for the relationship between rapamycin and cellular senescence or aging processes. The retrieved results are empty.

Here is the query I used:

```cypher
MATCH (c:ChemicalEntity {id_lower: 'rapamycin'})-[:ChemicalEntity_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
MATCH (c)-[:ChemicalEntity_BiologicalProcess]->(bp2:BiologicalProcess)
WHERE bp2.name_lower CONTAINS 'aging'
RETURN c.name AS chemical, bp.name AS process, bp2.name AS aging_process
LIMIT 25
```

You may want to refine the question, for example by checking if rapamycin is linked to other biological processes (e.g., ""autophagy"", ""senescence"", ""cardiac tissue"") or by broadening the search terms.",13.5,
34,5,NAD+ precursor supplementation restores mitochondrial function via SIRT3 activation.,"MATCH (ce:ChemicalEntity)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE ce.name_lower CONTAINS 'nad+'
RETURN ce.name AS chemical_entity, bp.name AS biological_process
LIMIT 25",0,"The knowledge graph returned no results for the query linking NAD+ to any biological process. The retrieved information is empty.

```cypher
MATCH (ce:ChemicalEntity)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE ce.name_lower CONTAINS 'nad+'
RETURN ce.name AS chemical_entity, bp.name AS biological_process
LIMIT 25
```

Please refine your question (e.g., search for “nicotinamide riboside,” “SIRT3,” or “mitochondrial function” separately) or provide more specific terms to query the graph.",13.7,
35,5,Inhibition of CDKN2A promotes tissue regeneration in aged mammals.,"MATCH (g:Gene)-[r:Gene_Inhibits_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'cdkn2a'
RETURN g.id AS gene_id, g.name AS gene_name, bp.name AS biological_process_name
LIMIT 25",0,"I didn't find any result in the knowledge graph for the query about CDKN2A inhibition promoting tissue regeneration in aged mammals. The retrieved results are empty.

Here is the query I used:

```cypher
MATCH (g:Gene)-[r:Gene_Inhibits_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'cdkn2a'
RETURN g.id AS gene_id, g.name AS gene_name, bp.name AS biological_process_name
LIMIT 25
```

You may want to refine the question, for example by checking if the gene is stored under a different identifier (e.g., ""CDKN2A"" vs. ""cdkn2a""), or by searching for related processes like ""tissue regeneration"" or ""aging"" separately.",15.1,
36,5,Klotho overexpression protects against age-related cognitive decline through FGF23 signalling.,"MATCH (g:Gene)-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'klotho'
RETURN g.id AS gene_id, g.name AS gene_name, bp.name AS biological_process
LIMIT 25",0,"I didn't find any result in the knowledge graph for the query about Klotho overexpression protecting against age-related cognitive decline through FGF23 signalling. The retrieved results were empty.

Here is the query I used:

```cypher
MATCH (g:Gene)-[:Gene_PositivelyAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower CONTAINS 'klotho'
RETURN g.id AS gene_id, g.name AS gene_name, bp.name AS biological_process
LIMIT 25
```

Please refine your question, for example by specifying a different gene name (e.g., ""KL"" or ""klotho"") or by asking about FGF23-related pathways separately.",13.1,
37,5,Spermidine induces autophagy and extends healthspan via TFEB activation.,"MATCH (c:ChemicalEntity {id_lower: 'spermidine'})
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'autophagy'
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp2:BiologicalProcess)
WHERE bp2.name_lower CONTAINS 'healthspan'
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp3:BiologicalProcess)
WHERE bp3.name_lower CONTAINS 'tFEB'
RETURN c.name AS chemical, bp.name AS autophagy_process, bp2.name AS healthspan_process, bp3.name AS tfeb_process
LIMIT 25",0,"I didn't find any result in the knowledge graph for the query linking spermidine to autophagy, healthspan, and TFEB activation simultaneously.

Here is the query I used:

```cypher
MATCH (c:ChemicalEntity {id_lower: 'spermidine'})
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'autophagy'
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp2:BiologicalProcess)
WHERE bp2.name_lower CONTAINS 'healthspan'
MATCH (c)-[:ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess]->(bp3:BiologicalProcess)
WHERE bp3.name_lower CONTAINS 'tFEB'
RETURN c.name AS chemical, bp.name AS autophagy_process, bp2.name AS healthspan_process, bp3.name AS tfeb_process
LIMIT 25
```

The results are empty. You may want to refine the question by:
- Checking if the entity is stored under a different name (e.g., ""spermidine"" vs. ""N1-acetyl spermidine"").
- Searching for each relationship separately (e.g., spermidine → autophagy, spermidine → healthspan, spermidine → TFEB) to see which links exist.
- Using broader terms like ""TFEB"" (without the ""activation"" part) or ""longevity"" instead of ""healthspan"".",14.8,
